"Predicted_Bike_Rental_Count","Actual_Bike_Rental_Count"
1877,605
2331,705
1297,822
3869,1027
1164,1167
1175,1263
1318,1321
2246,1341
1661,1360
1300,1406
1916,1446
1574,1526
1686,1550
1366,1600
1543,1605
2461,1607
1854,1623
2615,1749
2509,1796
1507,1807
1795,1812
2905,1996
3580,2034
2114,2132
2019,2133
2614,2177
2014,2192
2525,2236
3939,2294
2684,2368
2046,2471
2347,2594
5311,2843
2587,2895
3218,2918
3145,3117
3418,3190
4380,3194
2867,3214
3888,3267
3356,3333
3419,3368
5010,3372
3925,3387
3126,3392
3648,3487
3469,3520
3546,3614
3521,3620
3092,3624
4194,3644
3749,3777
4295,3784
4408,3786
4677,3805
3649,3872
4283,3894
4259,3974
3655,4023
2886,4036
4592,4066
4636,4182
3980,4187
3713,4191
3912,4205
4417,4258
4172,4294
4503,4326
4679,4338
3979,4381
4037,4433
5745,4459
7137,4549
4552,4586
4423,4592
4750,4629
4322,4649
4586,4661
4813,4725
4692,4758
4676,4803
4865,4833
4765,4839
4527,4845
5226,4862
4549,4881
5140,4972
4966,4991
4330,5010
4752,5062
5418,5107
5699,5115
6585,5169
4047,5191
5288,5255
5255,5259
5370,5267
3953,5312
5064,5501
5093,5686
6783,5713
4679,5805
6180,5810
5372,5847
4882,5895
6332,5905
5061,5923
5903,5936
7268,6140
5897,6153
6673,6196
5956,6203
5690,6207
5871,6230
6266,6234
5621,6241
6547,6269
6560,6299
5547,6460
6583,6591
7111,6597
7122,6598
7065,6639
6930,6864
5628,6883
7123,6891
6578,6904
7232,6998
7510,7006
6948,7105
6720,7132
7042,7148
6853,7216
6686,7282
6705,7350
6934,7384
6279,7444
7230,7499
7188,7534
7522,7641
7433,7702
7075,7965
7768,8009
7614,8555
